PHX,AZ,ARIZONA,MARICOPA,PHOENIX,PHOENIX SKY HARBOR INTERNATIONAL
IWA,AZ,ARIZONA,MARICOPA,PHOENIX,PHOENIX-MESA GATEWAY
PRC,AZ,ARIZONA,YAVAPAI,PRESCOTT,ERNEST A. LOVE FIELD
SOW,AZ,ARIZONA,NAVAJO,SHOW LOW,SHOW LOW REGIONAL
TUS,AZ,ARIZONA,PIMA,TUCSON,TUCSON INTERNATIONAL
NYL,AZ,ARIZONA,YUMA,YUMA,YUMA MCAS/YUMA INTERNATIONAL
ACV,CA,CALIFORNIA,HUMBOLDT,ARCATA/EUREKA,ARCATA
BFL,CA,CALIFORNIA,KERN,BAKERSFIELD,MEADOWS FIELD
BUR,CA,CALIFORNIA,LOS ANGELES,BURBANK,BOB HOPE
CRQ,CA,CALIFORNIA,SAN DIEGO,CARLSBAD,MC CLELLAN-PALOMAR
CIC,CA,CALIFORNIA,BUTTE,CHICO,CHICO MUNICIPAL
CCR,CA,CALIFORNIA,CONTRA COSTA,CONCORD,BUCHANAN FIELD
CEC,CA,CALIFORNIA,DEL NORTE,CRESCENT CITY,JACK MC NAMARA FIELD
FAT,CA,CALIFORNIA,FRESNO,FRESNO,FRESNO YOSEMITE INTERNATIONAL
IPL,CA,CALIFORNIA,IMPERIAL,IMPERIAL,IMPERIAL COUNTY
IYK,CA,CALIFORNIA,KERN,INYOKERN,INYOKERN
LGB,CA,CALIFORNIA,LOS ANGELES,LONG BEACH,LONG BEACH /DAUGHERTY FIELD/
LAX,CA,CALIFORNIA,LOS ANGELES,LOS ANGELES,LOS ANGELES INTERNATIONAL
MMH,CA,CALIFORNIA,MONO,MAMMOTH LAKES,MAMMOTH YOSEMITE
MCE,CA,CALIFORNIA,MERCED,MERCED,MERCED REGIONAL//MACREADY FIELD
MOD,CA,CALIFORNIA,STANISLAUS,MODESTO,MODESTO CITY-CO-HARRY SHAM FIELD
MRY,CA,CALIFORNIA,MONTEREY,MONTEREY,MONTEREY REGIONAL
OAK,CA,CALIFORNIA,ALAMEDA,OAKLAND,METROPOLITAN OAKLAND INTERNATIONAL
ONT,CA,CALIFORNIA,SAN BERNARDINO,ONTARIO,ONTARIO INTERNATIONAL
