"AERO SERVICIOS ESPECIALIZADOS, S.A. DE C.V.",SVE
"AERO SERVICIOS PLATINUM, S.A. DE C.V.",PNU
"AERO SERVICIOS REGIOMONTANOS, S.A. DE C.V.",ERI
"AERO SERVICIOS VANGUARDIA, S.A. DE C.V.",VNG
"AERO SERVICIOS, S.A. DE C.V.",RVI
"AERO SILZA, S.A. DE C.V.",SIZ
AERO SKY S.L.,ASK
AERO SLOVAKIA,ASO
"AERO SUDPACIFICO, S.A.",SDP
AERO SUR PARAGUAY S.A.,AES
AERO SURVEY LTD,IKM
"AERO TAXI DE LOS CABOS, S.A. DE C.V.",TBO
"AERO TAXI DEL POTOSI, S.A.",TPO
"AERO TAXIS Y SERVICIOS ALFE, S.A. DE C.V.",FES
"AERO TOLUCA INTERNACIONAL, S.A. DE C.V.",TLU
"AERO TOMZA, S.A. DE C.V.",TZA
AERO TONALA,TON
AERO TRANSPORTE S.A. (ATSA),AMP
"AERO TRANSPORTES DEL HUMAYA, S.A. DE C.V.",HUY
AERO TRANSPORTES EMPRESARIALES,EPL
"AERO TROPICAL, LDA",TPB
"AERO UTIL, S.A. DE C.V.",TLE
"AERO VICS, S.A. DE C.V.",ARI
AERO VILAMOURA,VMR
"AERO VIREL, S.A. DE C.V.",VLS
AERO VISION,AOV
AERO VODOCHODY,AOD
"AERO WAYS, INC (NEW CASTLE, DE)",TKK
"AERO YAQUI MAYO, S. A. DE C.V.",MYS
AERO ZAMBIA LIMITED,RZL
"AERO ZANO, S.A. DE C.V.",RZN
"AERO-BETA GMBH & CO., STUTTGART",ABA
AERO-CHARTER UKRAINE LTD,UCR
"AERO-KAMOV, AFFILIATED COMPANY",MSV
"AERO-MICRONESIA, INC. D/B/A ASIA PACIFIC AIRLINES (DANVILLE, CA)",MGE
AERO-PYRENEES,EAP
"AERO-REY, S.A. DE C.V.",REY
AERO-TROPICS AIR SERVICES,ATI
"AERO4M, D.O.O.",AEH
AEROALJARAFE S.L.,AJH
"AEROANDINAS, C.A.",ARD
